,Pinophyta,Abies,LUCA,cell_ids,Dist.to.road_m,Elevation_m,MaxTemp_m,MeanTemp_m,MinTemp_m,Population_m,Precipitation_m,SolarRadiation_m,VaporPres_m,WindSp_m,Longitude,Latitude,wwf_mhtnum,wwf_mhtnam,covid,name,cov_id,tipos,geometry
3694,0.0,0.0,1.0,243132,7303.37714844,2235.33333333,24.8025463378,16.5023148148,24.9328703704,134.066940731,46.3773148148,18547.5949074,1.0,2.0,-98.974563416,19.507389801,13.0,Deserts and Xeric Shrublands,44908,PASTIZAL HALÓFILO,9918.0,Pastizal Halofilo,POINT (-98.974563416 19.507389801)
3695,0.0,0.0,1.0,240939,6244.89234375,1435.22222222,22.4793980828,17.7685185185,22.5185185185,111.863790194,139.594907407,16825.8472222,1.60648148148,1.83333333333,-97.553563416,19.948389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,6398,BOSQUE MESÓFILO DE MONTAÑA,9445.0,Bosque Mesofilo de Montana,POINT (-97.553563416 19.948389801)
3696,0.0,0.0,1.0,235791,1134.86522949,41.6666666667,29.5076389622,24.2060185185,29.6226851852,47.6534134017,101.710648148,17090.1203704,2.58333333333,2.13425925926,-97.553563416,20.977389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,82937,AGRICULTURA DE TEMPORAL ANUAL Y PERMANENTE,7291.0,Pastizal Cultivado,POINT (-97.553563416 20.977389801)
3697,0.0,0.0,0.0,245125,1727.28808594,2571.33333333,20.1340277659,12.7916666667,20.1736111111,33.5452174081,60.1828703704,17514.0,1.0,2.09259259259,-97.847563416,19.115389801,3.0,Tropical and Subtropical Coniferous Forests,8616,BOSQUE DE PINO-ENCINO,10223.0,Bosque de Pino,POINT (-97.847563416 19.115389801)
3698,0.0,0.0,1.0,241437,2420.24402344,1297.5,23.3006944171,18.0648148148,23.3564814815,56.5950924555,133.356481481,16385.7939815,1.66203703704,2.0,-97.259563416,19.850389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,6392,BOSQUE MESÓFILO DE MONTAÑA,9537.0,Pastizal Cultivado,POINT (-97.25956341600001 19.850389801)
3699,0.0,0.0,1.0,245638,1052.2854248,533.333333333,29.2566666444,23.5083333333,29.3166666667,50.7396199438,106.272222222,15876.7472222,2.06666666667,2.0,-96.720563416,19.017389801,2.0,Tropical and Subtropical Dry Broadleaf Forests,83182,AGRICULTURA DE TEMPORAL ANUAL Y SEMIPERMANENTE,10239.0,Selva Baja Caducifolia,POINT (-96.720563416 19.017389801)
3700,0.0,0.0,1.0,248482,1869.80043945,1245.66666667,31.5143517786,23.5925925926,31.5555555556,79.3234650294,64.8865740741,17950.2800926,1.62731481481,1.71759259259,-98.582563416,18.478389801,2.0,Tropical and Subtropical Dry Broadleaf Forests,59984,AGRICULTURA DE RIEGO ANUAL,10536.0,Selva Baja Caducifolia,POINT (-98.582563416 18.478389801)
3701,0.0,0.0,1.0,241408,1360.24178223,2433.66666667,23.2701388862,14.7777777778,23.3287037037,129.838920275,35.4467592593,18641.8333333,1.0,2.12962962963,-98.680563416,19.850389801,13.0,Deserts and Xeric Shrublands,71911,AGRICULTURA DE TEMPORAL ANUAL,8684.0,Agricultura de Temporal,POINT (-98.680563416 19.850389801)
3702,0.0,0.0,0.0,242662,1214.23051758,2268.55555556,22.4078703721,14.662037037,22.474537037,57.7892639902,53.1782407407,17583.625,1.0,2.0,-97.798563416,19.605389801,3.0,Tropical and Subtropical Coniferous Forests,82556,AGRICULTURA DE TEMPORAL ANUAL Y PERMANENTE,9631.0,Agricultura de Temporal,POINT (-97.79856341599999 19.605389801)
3703,0.0,0.0,1.0,250614,2620.72450358,1567.0,28.8122222265,22.2388888889,28.875,8.88565242953,39.8805555556,17338.1361111,1.46666666667,2.0,-97.945563416,18.135389801,2.0,Tropical and Subtropical Dry Broadleaf Forests,64891,SELVA BAJA CADUCIFOLIA,10536.0,Selva Baja Caducifolia,POINT (-97.945563416 18.135389801)
3704,0.0,0.0,1.0,236750,5187.97894694,540.444444444,26.4171296314,21.5300925926,26.4583333333,70.3904370202,178.574074074,17737.0694444,2.23842592593,1.31018518519,-98.239563416,20.781389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,83273,AGRICULTURA DE TEMPORAL ANUAL Y SEMIPERMANENTE,8505.0,Agricultura de Temporal,POINT (-98.239563416 20.781389801)
3705,0.0,0.0,1.0,243429,1816.08685303,128.0,31.3370369673,24.75,31.3402777778,34.5963264571,81.1736111111,16541.6388889,2.52314814815,2.81944444444,-96.524563416,19.458389801,2.0,Tropical and Subtropical Dry Broadleaf Forests,63055,AGRICULTURA DE RIEGO ANUAL Y SEMIPERMANENTE,9847.0,Agricultura de Riego,POINT (-96.52456341600001 19.458389801)
3706,0.0,0.0,1.0,235079,4026.10162109,132.333333333,28.8050924981,23.6226851852,28.8449074074,30.1457957957,114.840277778,17214.3449074,2.50462962963,2.00462962963,-97.651563416,21.124389801,1.0,Tropical and Subtropical Moist Broadleaf Forests,42818,PASTIZAL CULTIVADO,7291.0,Pastizal Cultivado,POINT (-97.651563416 21.124389801)
